network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
E3-L1, E4-L1;min;32353334.2;2;29218;4026;24894;298;25192;1;1.72441645560956;0.862208227804778;0.862208227804778;1;0;1;20;1;4026;5060;4950;99;11;23456;701;3.42254774454104e-05;0.137791772195222;0.852009035526046;0.0101991922787323;0.173180915873776;0.169416113354781;0.00338832226709563;0.000376480251899514;0.802792798959545;0.0239920596892327;0.34901185770751;1.70652173913043;0.348282828282828;0;0.373737373737374;85.2020202020202;0.454545454545455;18.1818181818182
E3-L2, E4-L2;min;32353334.2;2;29213;4026;24889;298;25189;1;1.72450621298737;0.862253106493684;0.862253106493684;1;0;1;20;1;4025;5060;4950;99;11;23451;701;3.42313353643926e-05;0.137815356177044;0.851983705884367;0.010200937938589;0.173210556943826;0.169445110053743;0.00338890220107486;0.000376544689008318;0.80275904563037;0.0239961660904392;0.34901185770751;1.70652173913043;0.348282828282828;0;0.373737373737374;85.2020202020202;0.454545454545455;18.1818181818182
E3-L3, E4-L3;min;32353334.2;2;29120;4026;24798;296;25142;1;1.72678571428571;0.863392857142857;0.863392857142857;1;0;1;20;1;4004;5076;4966;99;11;23343;700;3.43406593406593e-05;0.138255494505495;0.85157967032967;0.0101648351648352;0.174313186813187;0.170535714285714;0.00339972527472527;0.000377747252747253;0.801614010989011;0.0240384615384615;0.354018912529551;1.70094562647754;0.353403141361257;0;0.373737373737374;85.1919191919192;0.454545454545455;18.1818181818182
