network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
E1-L1, E2-L1;min;1218598.67;2;1851;799;838;214;1496;1;1.61642355483522;0.808211777417612;0.808211777417612;1;0;1;1;1;687;1371;1244;104;23;445;34;0.000540248514316586;0.431658562938952;0.452728254997299;0.115613182063749;0.740680713128039;0.672069151809833;0.0561858454889249;0.0124257158292815;0.240410588870881;0.0183684494867639;0.809628008752735;0.962800875273523;0.711414790996785;0;1.67307692307692;11.8557692307692;2.21739130434783;3.78260869565217
E1-L2, E2-L2;min;1222563.33;2;991;559;308;124;1247;1;2.51664984863774;1.25832492431887;1.25832492431887;1;0;1;2;2;363;868;758;82;28;120;2;0.00100908173562059;0.564076690211907;0.31079717457114;0.125126135216953;0.875882946518668;0.764883955600404;0.082744702320888;0.0282542885973764;0.12108980827447;0.00201816347124117;1.32834101382488;1.42857142857143;0.96042216358839;0;4.01219512195122;13.5853658536585;3.42857142857143;4.5
E1-L3, E2-L3;min;1539424.12;2;382;292;32;58;838;1;4.38743455497382;2.19371727748691;2.19371727748691;1;0;1;7.4;15;114;377;323;45;8;5;0;0.00261780104712042;0.764397905759162;0.0837696335078534;0.151832460732984;0.986910994764398;0.845549738219895;0.117801047120419;0.0209424083769634;0.0130890052356021;0;2.21220159151194;2.22281167108753;1.63777089783282;0;5.93333333333333;17.3111111111111;4.625;7.375
