network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E12-L1;min;5.29;20;10390;9942;447;2655;7519;216;7737;5057;0;2680;0.346387488690707;2561;94;0.232437829007079;0.00853149391904157;0.902704665093483;0.0972953349065166;1;1.4893166506256;0.744658325312801;0.744658325312801;0.742506537919936;0;0.791946308724832;17.3087248322148;1;0;1;1;1;2654;0.205384176198441;9.62463907603465e-05;0.956881616939365;0.0430221366698749;0.25553416746872;0.723676612127045;0.0207892204042348;0.653612511309293;0;0.346387488690707
E12-L2;min;5.29;20;10227;9785;441;2655;7360;212;7666;5038;0;2628;0.342812418471171;2561;94;0.232437829007079;0.00853149391904157;0.902704665093483;0.0972953349065166;1;1.49916886672533;0.749584433362667;0.749584433362667;0.745528870720491;0;0.839002267573696;17.3832199546485;1;0;1;1;1;2625;0.205384176198441;9.77803852547179e-05;0.956781069717415;0.0431211498973306;0.259606922851276;0.719663635474724;0.0207294416740002;0.657187581528829;0;0.342812418471171
E12-L3;min;5.29;20;9201;8776;424;2654;6366;181;7213;4773;0;2440;0.338278108969915;2561;93;0.232437829007079;0.00853149391904157;0.902704665093483;0.0972953349065166;1;1.56787305727638;0.783936528638192;0.783936528638192;0.763217866909754;0;1.2122641509434;17.0117924528302;1;0;1;5;2;2606;0.205384176198441;0.000108683838713183;0.953809368546897;0.0460819476143897;0.288446907944789;0.691881317248125;0.0196717748070862;0.661721891030085;0;0.338278108969915
