network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E1-L1;min;40.97;20;4659;4294;364;1315;2889;455;3340;1987;0;1353;0.405089820359281;1219;96;0.237900078064012;0.0195160031225605;0.838212334113973;0.161787665886027;1;1.43378407383559;0.716892036917793;0.716892036917793;0.716115510013973;0;0.725274725274725;9.17582417582418;NA;NA;NA;NA;0;1319;0.211788510394849;0.000214638334406525;0.921657007941618;0.0781283537239751;0.28224940974458;0.620090148100451;0.0976604421549689;0.594910179640719;0;0.405089820359281
E1-L2;min;40.97;20;4657;4293;363;1315;2887;455;3339;1986;0;1353;0.405211141060198;1219;96;0.237900078064012;0.0195160031225605;0.838212334113973;0.161787665886027;1;1.43397036718918;0.716985183594589;0.716985183594589;0.716282320055905;0;0.724517906336088;9.19834710743802;NA;NA;NA;NA;0;1319;0.211788510394849;0.000214730513205927;0.921838093193043;0.0779471762937513;0.282370624865793;0.61992699162551;0.0977023835086966;0.594788858939802;0;0.405211141060198
E1-L3;min;40.97;20;4612;4249;362;1314;2854;444;3323;1977;0;1346;0.405055672585014;1218;96;0.237900078064012;0.0195160031225605;0.838212334113973;0.161787665886027;1;1.44102341717259;0.720511708586297;0.720511708586297;0.717815956695693;0;0.751381215469613;9.17955801104972;NA;NA;NA;NA;0;1297;0.211788510394849;0.000216825672159584;0.921292281006071;0.0784908933217693;0.284908933217693;0.618820468343452;0.0962705984388552;0.594944327414986;0;0.405055672585014
