network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E11-L1;min;5.29;20;10339;9896;442;2654;7482;203;7687;4949;0;2738;0.356185768180044;2560;94;0.233448841874886;0.00857194966259347;0.902790443188036;0.0972095568119642;1;1.48699100493278;0.743495502466389;0.743495502466389;0.741410670978173;0;0.789592760180995;17.3914027149321;NA;NA;NA;1;1;2653;0.206077397581217;9.67211529161428e-05;0.957152529258149;0.0427507495889351;0.256697939839443;0.72366766611858;0.019634394041977;0.643814231819956;0;0.356185768180044
E11-L2;min;5.29;20;10190;9753;436;2654;7337;199;7634;4928;0;2706;0.354466858789625;2560;94;0.233448841874886;0.00857194966259347;0.902790443188036;0.0972095568119642;1;1.49833169774289;0.749165848871443;0.749165848871443;0.744796472880139;0;0.846330275229358;17.5091743119266;NA;NA;NA;1;1;2629;0.206077397581217;9.8135426889107e-05;0.95711481844946;0.0427870461236506;0.26045142296369;0.720019627085378;0.0195289499509323;0.645533141210375;0;0.354466858789625
E11-L3;min;5.29;20;9169;8752;416;2654;6344;171;7234;4664;0;2570;0.355266795687033;2560;94;0.233448841874886;0.00857194966259347;0.902790443188036;0.0972095568119642;1;1.57792561893336;0.788962809466681;0.788962809466681;0.765767824497258;0;1.27644230769231;17.3894230769231;NA;NA;NA;5;2;2605;0.206077397581217;0.000109063147562439;0.954520667466463;0.0453702693859745;0.289453593630712;0.691896608136111;0.018649798233177;0.644733204312967;0;0.355266795687033
