network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E1-L1;min;1217058.44;20;1621;1490;130;748;708;165;1141;599;0;542;0.475021910604733;705;43;0.386612021857923;0.0450819672131148;0.852914389799636;0.147085610200364;1;1.4077729796422;0.703886489821098;0.703886489821098;0.650335570469799;0;1.31538461538462;8.77692307692308;1;0;1;1;1;657;0.241646101392705;0.000616903146206046;0.919185687847008;0.0801974090067859;0.461443553362122;0.43676742751388;0.101789019123998;0.524978089395267;0;0.475021910604733
E1-L2;min;1222563.33;20;938;840;97;553;286;99;963;450;0;513;0.532710280373832;528;25;0.449453551912568;0.0255009107468124;0.852914389799636;0.147085610200364;1;2.05330490405117;1.02665245202559;1.02665245202559;0.803571428571429;0;2.95876288659794;9.92783505154639;1;0;1;1.5;2;381;0.241646101392705;0.00106609808102345;0.895522388059702;0.103411513859275;0.58955223880597;0.304904051172708;0.105543710021322;0.467289719626168;0;0.532710280373832
E1-L3;min;1460106.86;20;380;329;50;302;32;46;672;313;0;359;0.53422619047619;286;15;0.520036429872495;0.0191256830601093;0.852914389799636;0.147085610200364;1;3.53684210526316;1.76842105263158;1.76842105263158;1.33738601823708;0;4.62;13.44;1;0;1;4.85714285714286;14;124;0.241646101392705;0.00263157894736842;0.865789473684211;0.131578947368421;0.794736842105263;0.0842105263157895;0.121052631578947;0.46577380952381;0;0.53422619047619
