network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E6-L1;min;13.87;20;4596;4224;371;1318;2955;323;3277;1953;0;1324;0.404028074458346;1221;96;0.24031465093412;0.0192723697148476;0.830875122910521;0.169124877089479;1;1.4260226283725;0.713011314186249;0.713011314186249;0.7109375;0;0.738544474393531;8.83288409703504;NA;NA;NA;0;1;1319;0.23922209732993;0.000217580504786771;0.919060052219321;0.0807223672758921;0.286771105308964;0.642950391644909;0.0702785030461271;0.595971925541654;0;0.404028074458346
E6-L2;min;13.87;20;4593;4221;371;1318;2951;324;3276;1947;0;1329;0.405677655677656;1221;96;0.24031465093412;0.0192723697148476;0.830875122910521;0.169124877089479;1;1.42651861528413;0.713259307642064;0.713259307642064;0.710968964700308;0;0.741239892183288;8.83018867924528;NA;NA;NA;0;1;1317;0.23922209732993;0.000217722621380361;0.919007184846506;0.0807750925321141;0.286958414979316;0.642499455693447;0.0705421293272371;0.594322344322344;0;0.405677655677656
E6-L3;min;13.87;20;4559;4188;370;1318;2924;317;3262;1940;0;1322;0.405272838749234;1221;96;0.24031465093412;0.0192723697148476;0.830875122910521;0.169124877089479;1;1.4310155735907;0.71550778679535;0.71550778679535;0.71251193887297;0;0.751351351351351;8.81621621621622;NA;NA;NA;0;1;1303;0.23922209732993;0.000219346347883308;0.918622504935293;0.0811581487168239;0.2890984865102;0.641368721210792;0.0695327922790085;0.594727161250766;0;0.405272838749234
