network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E2-L1;min;1268136.44;20;1601;1465;135;727;736;138;1147;570;0;577;0.50305143853531;685;42;0.34624145785877;0.0273348519362187;0.851480637813212;0.148519362186788;1;1.43285446595878;0.716427232979388;0.716427232979388;0.661433447098976;0;1.31111111111111;8.4962962962963;1;0;1;3.33333333333333;3;638;0.242480648594532;0.000624609618988132;0.915053091817614;0.0843222985633979;0.454091193004372;0.459712679575265;0.0861961274203623;0.496948561464691;0;0.50305143853531
E2-L2;min;1271632.67;20;921;823;97;525;302;94;1003;471;0;532;0.530408773678963;498;27;0.34624145785877;0.0273348519362187;0.851480637813212;0.148519362186788;1;2.17806731813246;1.08903365906623;1.08903365906623;0.854191980558931;0;3.08247422680412;10.340206185567;1;0;1;5.46153846153846;13;352;0.242480648594532;0.001085776330076;0.893593919652552;0.105320304017372;0.570032573289902;0.327904451682953;0.102062975027144;0.469591226321037;0;0.530408773678963
E2-L3;min;1453830.57;20;379;330;48;297;34;48;724;299;0;425;0.587016574585635;281;15;0.34624145785877;0.0273348519362187;0.851480637813212;0.148519362186788;1;3.82058047493404;1.91029023746702;1.91029023746702;1.45454545454545;0;5.08333333333333;15.0833333333333;0;0;0;0;1;125;0.242480648594532;0.00263852242744063;0.870712401055409;0.12664907651715;0.783641160949868;0.0897097625329815;0.12664907651715;0.412983425414365;0;0.587016574585635
