network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E3-L1;min;1265596.44;20;2758;2620;137;1421;1202;135;2195;1164;0;1031;0.469703872437358;1368;52;0.361581920903955;0.0135593220338983;0.92;0.08;1;1.59173313995649;0.795866569978245;0.795866569978245;0.738931297709924;0;1.89051094890511;15.963503649635;0;8;0;0;1;1170;0.170225152244145;0.000362581580855693;0.949963741841914;0.0496736765772299;0.515228426395939;0.435823060188542;0.0489485134155185;0.530296127562642;0;0.469703872437358
E3-L2;min;1515436.57;20;1271;1171;99;956;254;61;1593;767;0;826;0.518518518518518;907;48;0.361581920903955;0.0135593220338983;0.92;0.08;1;2.50668764752164;1.25334382376082;1.25334382376082;1.0264730999146;0;3.94949494949495;16.0909090909091;0;0;0;0;1;524;0.170225152244145;0.000786782061369001;0.9213217938631;0.0778914240755311;0.752163650668765;0.199842643587726;0.0479937057435091;0.481481481481481;0;0.518518518518518
E3-L3;min;1525948.86;20;399;346;52;370;0;29;1003;457;0;546;0.544366899302094;342;27;0.361581920903955;0.0135593220338983;0.92;0.08;1;5.02756892230576;2.51378446115288;2.51378446115288;1.99132947976879;0;6.03846153846154;19.2884615384615;0;0;0;0;1;106;0.170225152244145;0.0025062656641604;0.867167919799499;0.130325814536341;0.927318295739348;0;0.0726817042606516;0.455633100697906;0;0.544366899302094
