network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
E10-L1, E9-L1;min;7.91;2;5645;1448;4000;197;4197;1;1.48697962798937;0.743489813994686;0.743489813994686;0;0;0;0;1;1448;4611;4253;358;0;950;83;0.000177147918511957;0.256510186005314;0.70859167404783;0.0348981399468556;0.816829052258636;0.753410097431355;0.0634189548272808;0;0.16829052258636;0.0147032772364925;0.743005855562785;0.743005855562785;0.742299553256525;0;0.751396648044693;9.56983240223464;NA;NA
E10-L2, E9-L2;min;7.91;2;5634;1448;3990;196;4194;1;1.4888178913738;0.744408945686901;0.744408945686901;0;0;0;0;1;1441;4605;4246;357;2;947;81;0.00017749378771743;0.257011004614839;0.708200212992545;0.0347887823926163;0.817358892438765;0.753638622648207;0.0633652822151225;0.00035498757543486;0.168086616968406;0.0143769968051118;0.744408251900109;0.749619978284473;0.743052284503062;0;0.753501400560224;9.58823529411765;2;14.5
E10-L3, E9-L3;min;7.91;2;5475;1447;3844;184;4147;1;1.51488584474886;0.757442922374429;0.757442922374429;0;0;0;0;1;1416;4486;4132;347;7;914;74;0.000182648401826484;0.264292237442922;0.702100456621005;0.0336073059360731;0.819360730593607;0.754703196347032;0.06337899543379;0.00127853881278539;0.166940639269406;0.0135159817351598;0.760811413285778;0.765938475256353;0.751452081316554;0;0.844380403458213;9.76945244956772;2.14285714285714;6.57142857142857
