network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
E3-L1, E4-L1;min;52.67;2;9401;2654;6366;381;6747;1;1.43537921497713;0.717689607488565;0.717689607488565;0;0;0;0;1;2654;9401;8985;415;0;0;0;0.000106371662589086;0.282310392511435;0.677162004042123;0.0405276034464419;1;0.95574938836294;0.0441442399744708;0;0;0;0.717689607488565;0.717689607488565;0.715859766277129;0;0.759036144578313;16.2578313253012;NA;NA
E3-L2, E4-L2;min;52.67;2;9384;2654;6351;379;6736;1;1.43563512361466;0.717817561807332;0.717817561807332;0;0;0;0;1;2653;9384;8969;414;0;0;0;0.000106564364876385;0.282821824381927;0.676790281329923;0.04038789428815;1;0.9557757885763;0.0441176470588235;0;0;0;0.717817561807332;0.717817561807332;0.715910357899431;0;0.760869565217391;16.2705314009662;NA;NA
E3-L3, E4-L3;min;52.67;2;9093;2653;6086;354;6598;1;1.45122621796987;0.725613108984933;0.725613108984933;0;0;0;0;1;2615;9093;8684;408;0;0;0;0.000109974705817662;0.291762894534257;0.669306059606291;0.0389310458594523;1;0.955020345320576;0.0448696799736061;0;0;0;0.725613108984933;0.725613108984933;0.72098111469369;0;0.825980392156863;16.171568627451;NA;NA
