network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
E7-L1, E8-L1;min;8.69;2;10133;2783;6904;446;7349;1;1.45050824040264;0.725254120201322;0.725254120201322;1;0;2;6;1;2784;9199;8798;400;0;891;43;9.86874568242376e-05;0.274647192341853;0.681338201914537;0.04401460574361;0.907825915326162;0.868252245139643;0.0394749827296951;0;0.0879305240303957;0.00424356064344222;0.726057180128275;0.726057180128275;0.724369174812457;0;0.7625;16.6975;NA;NA
E7-L2, E8-L2;min;8.69;2;10100;2783;6873;444;7334;1;1.45227722772277;0.726138613861386;0.726138613861386;1;0;2;6;1;2775;9171;8770;400;0;886;43;9.9009900990099e-05;0.275544554455446;0.680495049504951;0.043960396039604;0.908019801980198;0.868316831683168;0.0396039603960396;0;0.0877227722772277;0.00425742574257426;0.727074473885073;0.727074473885073;0.72497149372862;0;0.7725;16.67;NA;NA
E7-L3, E8-L3;min;8.69;2;9697;2781;6508;408;7160;1;1.47674538517067;0.738372692585336;0.738372692585336;1;0;2;6;1;2742;8805;8409;393;2;851;41;0.000103124677735382;0.286789728782098;0.671135402701867;0.0420748685160359;0.908012787460039;0.867175415076828;0.0405279983500052;0.000206249355470764;0.0877591007528102;0.00422811178715067;0.740488358886996;0.744804088586031;0.732310619574266;0;0.908396946564885;16.5623409669211;2;24.5
