network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
E11-L1, E12-L1;min;5.29;2;11406;2920;8245;241;8488;1;1.48833947045415;0.744169735227073;0.744169735227073;1;0;2;2;1;2919;9323;8919;403;0;2000;83;8.76731544800982e-05;0.256005611081887;0.72286515868841;0.0211292302297037;0.817376819217955;0.781956864807996;0.0353322812554796;0;0.175346308960196;0.00727687182184815;0.743966534377346;0.743966534377346;0.74167507568113;0;0.794044665012407;17.2109181141439;NA;NA
E11-L2, E12-L2;min;5.29;2;11220;2920;8063;237;8417;1;1.50035650623886;0.75017825311943;0.75017825311943;1;0;2;2;1;2886;9197;8795;397;4;1944;79;8.9126559714795e-05;0.260249554367201;0.718627450980392;0.0211229946524064;0.81969696969697;0.783868092691622;0.0353832442067736;0.00035650623885918;0.173262032085561;0.00704099821746881;0.752201804936392;0.750788300532782;0.747242751563388;0;0.848866498740554;17.3375314861461;2;5.5
E11-L3, E12-L3;min;5.29;2;10052;2919;6931;202;7936;1;1.57898925586948;0.789494627934739;0.789494627934739;1;0;2;10;2;2863;8318;7917;382;18;1676;58;9.94826900119379e-05;0.290389972144847;0.689514524472742;0.0200955033824115;0.8274970155193;0.787604456824513;0.0380023875845603;0.00179068842021488;0.166732988460008;0.0057699960206924;0.804640538591007;0.821110843952873;0.777440949854743;0;1.28795811518325;17.1989528795812;2.5;14.4444444444444
