network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;start_best_nodes;standard_best_nodes;end_best_nodes;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
BL-WSR, BL-SR;min;1222563.33;2;991;559;308;124;1247;1;2.51664984863774;1.25832492431887;1.25832492431887;1;0;0.025;0;1;0;2;2;363;868;758;82;28;120;2;0.00100908173562059;0.564076690211907;0.31079717457114;0.125126135216953;0.875882946518668;0.764883955600404;0.082744702320888;0.0282542885973764;0.12108980827447;0.00201816347124117;1.32834101382488;1.42857142857143;0.96042216358839;0;4.01219512195122;13.5853658536585;3.42857142857143;4.5
BL-WSR, BL-SR;min;1886511.6;2;194;159;3;32;578;1;5.95876288659794;2.97938144329897;2.97938144329897;0;0;0;1;0;0;0;1;49;194;158;32;3;0;0;0.00515463917525773;0.819587628865979;0.0154639175257732;0.164948453608247;1;0.814432989690722;0.164948453608247;0.0154639175257732;0;0;2.97938144329897;2.97938144329897;2.36708860759494;0;5.90625;17.125;5;10
BL-WSR, BL-SR;min;3381375.645;2;64;42;0;22;244;1;7.625;3.8125;3.8125;0;0;0;1;0;0;0;1;5;64;46;17;0;0;0;0.015625;0.65625;0;0.34375;1;0.71875;0.265625;0;0;0;3.8125;3.8125;3.45652173913043;0.173913043478261;5;13.8823529411765;NA;NA
BH-WSR, BH-SR;min;1515666.86;2;1354;998;255;101;2518;1;3.71935007385524;1.85967503692762;1.85967503692762;0;0;0;1;0;0;0;1;458;1222;1105;83;33;132;0;0.000738552437223043;0.737075332348597;0.188330871491876;0.0745937961595273;0.902511078286558;0.816100443131462;0.0612998522895126;0.0243722304283604;0.0974889217134417;0;1.97872340425532;2.06055646481178;1.53393665158371;0;6.96385542168675;26.6506024096386;4.39393939393939;9.27272727272727
BH-WSR, BH-SR;min;2579213.575;2;196;166;0;30;789;1;8.05102040816327;4.02551020408163;4.02551020408163;6;33;0.475;0;0;1;5.13333333333333;15;27;196;160;31;4;0;0;0.00510204081632653;0.846938775510204;0;0.153061224489796;1;0.816326530612245;0.158163265306122;0.0204081632653061;0;0;4.02551020408163;4.02551020408163;3.35;0;7.45161290322581;23.8064516129032;4;4.5
BH-WSR, BH-SR;min;2929224.905;2;64;45;0;19;309;1;9.65625;4.828125;4.828125;3;17;0.625;0;0;1;6.6;5;2;64;45;18;0;0;0;0.015625;0.703125;0;0.296875;1;0.703125;0.28125;0;0;0;4.828125;4.828125;4.31111111111111;0;6.22222222222222;16.2222222222222;NA;NA
