network_names;problem_type;best_known_solution;number_of_networks;nodes;start_nodes;standard_nodes;end_nodes;edges;best_nodes;average_degree;average_in_degree;average_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;shared_nodes;shared_regular_nodes;shared_elite_nodes;shared_mixed_nodes;network_regular_nodes;network_elite_nodes;best_nodes_rate;start_rate;standard_rate;end_rate;shared_rate;shared_regular_rate;shared_elite_rate;shared_mixed_rate;network_regular_rate;network_elite_rate;average_shared_in_degree;average_shared_out_degree;average_shared_regular_in_degree;average_shared_regular_out_degree;average_shared_elite_in_degree;average_shared_elite_out_degree;average_shared_mixed_in_degree;average_shared_mixed_out_degree
E1-L1, E2-L1;min;32373215.22;2;14593;2002;12316;275;12591;1;1.72562187350099;0.862810936750497;0.862810936750497;1;0;0.025;15;1;2002;2993;2865;119;9;10982;617;6.85260056191325e-05;0.137189063249503;0.843966285205235;0.0188446515452614;0.205098334818063;0.196327006098815;0.00815459466867676;0.000616734050572192;0.752552593709313;0.0422805454670047;0.452723020380889;1.71533578349482;0.455148342059337;0;0.394957983193277;42.5546218487395;0.444444444444444;7.77777777777778
E1-L2, E2-L2;min;32373215.22;2;14592;2002;12315;275;12590;1;1.72560307017544;0.862801535087719;0.862801535087719;1;0;0.025;15;1;2002;2994;2866;119;9;10980;617;6.8530701754386e-05;0.137198464912281;0.843955592105263;0.0188459429824561;0.205180921052632;0.19640899122807;0.00815515350877193;0.000616776315789474;0.752467105263158;0.0422834429824561;0.452905811623247;1.71442885771543;0.455338450802512;0;0.394957983193277;42.546218487395;0.444444444444444;7.77777777777778
E1-L3, E2-L3;min;32373215.22;2;14571;2002;12295;274;12581;1;1.72685471141308;0.86342735570654;0.86342735570654;1;0;0.025;15;1;1998;2998;2869;119;10;10957;615;6.86294694942008e-05;0.13739619792739;0.843799327431199;0.018804474641411;0.205751149543614;0.196897947978862;0.0081669068698099;0.000686294694942008;0.751973097247958;0.0422071237389335;0.454302868579053;1.71847898599066;0.456605088881143;0;0.394957983193277;42.5294117647059;0.5;9.1
E3-L1, E4-L1;min;32353334.2;2;29218;4026;24894;298;25192;1;1.72441645560956;0.862208227804778;0.862208227804778;1;0;0.025;20;1;4026;5060;4950;99;11;23456;701;3.42254774454104e-05;0.137791772195222;0.852009035526046;0.0101991922787323;0.173180915873776;0.169416113354781;0.00338832226709563;0.000376480251899514;0.802792798959545;0.0239920596892327;0.34901185770751;1.70652173913043;0.348282828282828;0;0.373737373737374;85.2020202020202;0.454545454545455;18.1818181818182
E3-L2, E4-L2;min;32353334.2;2;29213;4026;24889;298;25189;1;1.72450621298737;0.862253106493684;0.862253106493684;1;0;0.025;20;1;4025;5060;4950;99;11;23451;701;3.42313353643926e-05;0.137815356177044;0.851983705884367;0.010200937938589;0.173210556943826;0.169445110053743;0.00338890220107486;0.000376544689008318;0.80275904563037;0.0239961660904392;0.34901185770751;1.70652173913043;0.348282828282828;0;0.373737373737374;85.2020202020202;0.454545454545455;18.1818181818182
E3-L3, E4-L3;min;32353334.2;2;29120;4026;24798;296;25142;1;1.72678571428571;0.863392857142857;0.863392857142857;1;0;0.025;20;1;4004;5076;4966;99;11;23343;700;3.43406593406593e-05;0.138255494505495;0.85157967032967;0.0101648351648352;0.174313186813187;0.170535714285714;0.00339972527472527;0.000377747252747253;0.801614010989011;0.0240384615384615;0.354018912529551;1.70094562647754;0.353403141361257;0;0.373737373737374;85.1919191919192;0.454545454545455;18.1818181818182
