network_name;problem_type;best_known_solution;number_of_runs;nodes;regular_nodes;elite_nodes;start_nodes;standard_nodes;end_nodes;edges;worsening_edges;equal_edges;improving_edges;edges_tendency;regular_start_nodes;elite_start_nodes;regular_start_configuration_rate;elite_start_configuration_rate;regular_configuration_rate;elite_configuration_rate;best_nodes;average_degree;average_in_degree;average_out_degree;average_regular_in_degree;average_regular_out_degree;average_elite_in_degree;average_elite_out_degree;average_best_in_degree;average_best_out_degree;best_strength_in;average_path_length;paths;components;average_configurations_survival_rates;best_nodes_rate;regular_nodes_rate;elite_nodes_rate;start_nodes_rate;standard_nodes_rate;end_nodes_rate;worsening_edges_rate;equal_edges_rate;improving_edges_rate
E7-L1;min;8.69;20;9679;9255;423;2651;6660;368;7027;4037;0;2990;0.425501636544756;2552;99;0.249364862223959;0.0234512409615009;0.904436193081884;0.0955638069181161;1;1.45200950511416;0.726004752557082;0.726004752557082;0.724257158292815;0;0.763593380614657;16.612293144208;1;0;1;3;1;2652;0.17859922334129;0.000103316458311809;0.956193821675793;0.0437028618658952;0.273891930984606;0.688087612356648;0.0380204566587457;0.574498363455244;0;0.425501636544756
E7-L2;min;8.69;20;9649;9225;423;2651;6630;368;7014;4022;0;2992;0.426575420587397;2552;99;0.249364862223959;0.0234512409615009;0.904436193081884;0.0955638069181161;1;1.45382941237434;0.72691470618717;0.72691470618717;0.724769647696477;0;0.773049645390071;16.5815602836879;1;0;1;3;1;2643;0.17859922334129;0.000103637682661416;0.95605762255156;0.0438387397657788;0.274743496735413;0.687117836045186;0.038138667219401;0.573424579412603;0;0.426575420587397
E7-L3;min;8.69;20;9272;8855;416;2649;6279;344;6847;3925;0;2922;0.42675624361034;2550;99;0.249853429743991;0.0236466679695134;0.904436193081884;0.0955638069181161;1;1.47691975841242;0.738459879206212;0.738459879206212;0.730886504799548;0;0.899038461538462;16.4591346153846;1;0;1;3;1;2614;0.17859922334129;0.000107851596203624;0.955025884383089;0.0448662640207075;0.285698878343399;0.677200172562554;0.0371009490940466;0.57324375638966;0;0.42675624361034
